#project	name	why it is not a verb
#
# THE OPT-OUT for lib/verb-set.sh and bin/cut-verb-build.sh. Read by both and
# by nothing else. Every row is a WRITTEN JUDGEMENT that an executable on a
# `bashified` branch was never meant to be a verb, despite qualifying.
#
# THE RULE IT EXEMPTS FROM, SINCE #891
#   a project declares a verb  <=>  its `bashified` branch carries an
#   executable `bin/<name>`. A `man/<name>.1` beside it is carried when present
#   and is never a precondition (lib/verb-set.sh) -- though cut-verb-build.sh
#   still REFUSES a page with no executable beside it. An executable with no
#   page is a verb, and this file is the ONLY way to keep one off PATH.
#
# THE TEST, Zach:
#
#     "would another agent or Zach ever call one of those?"
#
# A verb is a FRONT DOOR -- a name a person or another project TYPES. The
# mechanical rule asks only whether `bin/<name>` exists. An executable that
# qualifies and is nobody's door gets a row stating the evidence it was judged
# on. A genuine door with no page yet does NOT: ship it pageless or write the
# page, because a row here buries it permanently.
#
# STALENESS IS VISIBLE IN THE ARTIFACT, not enforced here. Every row that
# ACTUALLY applies is written into the build manifest as a `# NOT-A-VERB` line,
# so a row that never appears in any manifest is a row about a file that is no
# longer there. Remove it when that happens: an exemption outliving its reason
# is how a temporary judgement becomes a permanent blind spot.
#
bibliothecaire	page92.py	a bounded public-domain scraper and gallery builder; its own docstring is its interface, and cut-verb-build.sh cites it as the canonical "executable, no page, exempted here rather than shipped" example (#891)
vim-arcade	sync-engine.sh	says so in its own header: "NOT A VERB. It has no man/sync-engine.sh.1 and never will, so the declaration rule correctly does not count it"
ecosim	ecosim-sensor-tick.sh	cron wrapper for the sensor suite it serves; moved out of realisateur's own bin/ into ecosim's (#49), so the ownership the row's name implies now matches where the file lives. It exists so a bare cron line cannot get 2>&1 ordering wrong
ecosim	silence-audit.sh	the ecosystem's null-discriminator lint, run by realisateur's own copy of it; "offline-first (zero AI), writes nothing, exits 0 unless --strict"
ecosim	migration-watch.py	a one-purpose instrument for the mandark -> dexter migration: "OBSERVER ONLY ... writes nothing outside this repo, and cannot halt, gate or block a move"
gardien	ecosystem-archive.sh	archives the mandark agent-ecosystem set onto one removable exFAT drive; a hand-run operation with a restore-and-diff witness, not a name anyone types expecting a verb
scheduler	dose-project.sh	the implementation `bin/dose` execs for its project form, not a name anyone types: `dose ecosim`, never `dose-project.sh ecosim`. It travels on bashified only so the build carries it BESIDE bin/dose, which is what lets $SELF find it with no scheduler checkout and no exposure to hf7y/scheduler#99 -- see the dispatch comment in bin/dose. This row is what keeps it off PATH now that an executable alone would otherwise qualify it (#891).
ecosim	ecosim-sensor	an instrument behind ecosim's actual verb `sonde`, not a door of its own -- Zach, 2026-08-11: "ecosim-sensor and ecosim-sweep are not verbs. ecosim's verb is sonde." It is machine-facing by construction: data on stdout, status-first lines so `grep '^BLIND'` works, stable fields so `awk` works, and Monitoring Plugins exit codes in which `--help` EXITS 3, not 0. A verb whose --help exits 3 fails the verb contract outright, which is mechanical confirmation of the judgement rather than a second opinion about it.
ecosim	ecosim-sweep	the unattended one-pass driver over those instruments, run by a clock and read by a log, never typed -- same Zach ruling of 2026-08-11. Its contract is an aggregated severity (0 clean / 1 warn / 2 crit / 3 blind, BLIND beating CRIT), which is a thing a cron line consumes, not a thing a person asks for. `sonde` remains ecosim's one door.
scheduler	freeze-check.sh	the migration abort handle `dose freeze-check` execs, carried onto bashified by hf7y/scheduler#123 so the dispatch path needs no checkout. Nobody types `freeze-check.sh`; they type `dose freeze-check`. It travels in the build to be BESIDE bin/dose, not to be on PATH.
