# monkey-rehearsal, imported from a tar of live monkey, 2026-08-30. Torn down after.
# Answers the questions senechal#438 and #553 left open, by measurement.
run_at	2026-08-30T09:40Z
tar_bytes_gb	22.22
tar_rc	0
tar_stderr	empty
import_minutes	~45
vhdx_gb	23.3
first_boot_pid1	init	no /etc/wsl.conf, so systemd does NOT start: the disarm window is real
systemd_pid1_after_wslconf	systemd	[boot] systemd=true works
systemd_state	degraded	only tpm-udev.path and tpm-udev.service, which WSL2 has no device for
detect_virt	wsl	the discriminator constate.sh grades on
machine_id	HELD	25cb8cab... identical to live monkey
accounts	18	HELD
crontabs	19	HELD
verbs_on_path	19	HELD
etc_selfdev	4	HELD
runner_dirs	12	HELD on disk
runners_active	0	disarmed on purpose; they hold the LIVE fleet's agent names
dns	ok	github.com resolved after masking networkd and resolved
tun_device	present	/dev/net/tun exists, so tailscaled COULD use a real TUN
tailscale_binary	1.102.1	present
tailscaled_starts	YES	userspace-networking, reached BackendState=NeedsLogin inside the distro
tailscaled_netns_impact	none	created 0 kernel interfaces, so hermes's shared namespace was untouched
tailscale_login_under_mirrored	UNTESTED	needs a FRESH auth key; not minted, so the login half stays open
long_readout	0	was 4 on monkey the same day
soft_lockup	0	was 1
listeners_added	none	ssh masked, so the shared netns gained nothing
